"filename", "language", "C", "C++", "YAML", "comment", "blank", "total"
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/util.h", "C++", 0, 17, 0, 1, 2, 20
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/control.c", "C", 5, 0, 0, 1, 2, 8
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/control.h", "C++", 0, 15, 0, 3, 6, 24
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/defines.h", "C++", 0, 9, 0, 1, 1, 11
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/elements/desktop.c", "C", 308, 0, 0, 27, 16, 351
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/elements/desktop.h", "C++", 0, 10, 0, 6, 5, 21
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/elements/file_explorer.c", "C", 105, 0, 0, 14, 7, 126
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/elements/file_explorer.h", "C++", 0, 29, 0, 14, 8, 51
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/elements/settings.c", "C", 35, 0, 0, 3, 2, 40
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/elements/settings.h", "C++", 0, 9, 0, 1, 3, 13
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/filesystem.c", "C", 85, 0, 0, 9, 8, 102
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/filesystem.h", "C++", 0, 39, 0, 15, 11, 65
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/input/convimg.yaml", "YAML", 0, 0, 56, 0, 3, 59
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_appvar.c", "C", 12, 0, 0, 0, 1, 13
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_appvar.h", "C++", 0, 14, 0, 0, 5, 19
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_basic.c", "C", 12, 0, 0, 0, 1, 13
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_basic.h", "C++", 0, 14, 0, 0, 5, 19
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_c.c", "C", 12, 0, 0, 0, 1, 13
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_c.h", "C++", 0, 14, 0, 0, 5, 19
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_ez80.c", "C", 12, 0, 0, 0, 1, 13
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_ez80.h", "C++", 0, 14, 0, 0, 5, 19
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_folder.c", "C", 12, 0, 0, 0, 1, 13
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_folder.h", "C++", 0, 14, 0, 0, 5, 19
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_ice.c", "C", 12, 0, 0, 0, 1, 13
