"filename", "language", "C++", "C", "Markdown", "Makefile", "YAML", "comment", "blank", "total"
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/control.h", "C++", 11, 0, 0, 0, 0, 3, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/defines.h", "C++", 9, 0, 0, 0, 0, 1, 1, 11
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/elements/desktop.c", "C", 0, 164, 0, 0, 0, 18, 15, 197
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/elements/desktop.h", "C++", 6, 0, 0, 0, 0, 4, 3, 13
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/elements/file_explorer.c", "C", 0, 68, 0, 0, 0, 9, 7, 84
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/elements/file_explorer.h", "C++", 23, 0, 0, 0, 0, 10, 7, 40
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/filesystem.c", "C", 0, 201, 0, 0, 0, 73, 13, 287
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/filesystem.h", "C++", 88, 0, 0, 0, 0, 40, 16, 144
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/input/convimg.yaml", "YAML", 0, 0, 0, 0, 40, 0, 4, 44
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/gfx.h", "C++", 34, 0, 0, 0, 0, 0, 5, 39
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_appvar.c", "C", 0, 12, 0, 0, 0, 0, 1, 13
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_appvar.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_basic.c", "C", 0, 12, 0, 0, 0, 0, 1, 13
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_basic.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_c.c", "C", 0, 12, 0, 0, 0, 0, 1, 13
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_c.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_ez80.c", "C", 0, 12, 0, 0, 0, 0, 1, 13
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_ez80.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_folder.c", "C", 0, 12, 0, 0, 0, 0, 1, 13
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_folder.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_ice.c", "C", 0, 12, 0, 0, 0, 0, 1, 13
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_ice.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_ices.c", "C", 0, 12, 0, 0, 0, 0, 1, 13
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/icon_ices.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/palette.c", "C", 0, 67, 0, 0, 0, 0, 1, 68
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/palette.h", "C++", 11, 0, 0, 0, 0, 0, 5, 16
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_colors.c", "C", 0, 12, 0, 0, 0, 0, 1, 13
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_colors.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_desktop.c", "C", 0, 12, 0, 0, 0, 0, 1, 13
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_desktop.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_reset.c", "C", 0, 12, 0, 0, 0, 0, 1, 13
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_reset.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_shell.c", "C", 0, 12, 0, 0, 0, 0, 1, 13
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_shell.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_system.c", "C", 0, 12, 0, 0, 0, 0, 1, 13
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_system.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_taskbar.c", "C", 0, 12, 0, 0, 0, 0, 1, 13
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_taskbar.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_about.c", "C", 0, 8, 0, 0, 0, 0, 1, 9
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_about.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_appvars.c", "C", 0, 8, 0, 0, 0, 0, 1, 9
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_appvars.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_exit.c", "C", 0, 8, 0, 0, 0, 0, 1, 9
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_exit.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_files.c", "C", 0, 8, 0, 0, 0, 0, 1, 9
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_files.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_icon.c", "C", 0, 40, 0, 0, 0, 0, 1, 41
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_icon.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_programs.c", "C", 0, 8, 0, 0, 0, 0, 1, 9
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_programs.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_refresh.c", "C", 0, 8, 0, 0, 0, 0, 1, 9
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_refresh.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_search.c", "C", 0, 8, 0, 0, 0, 0, 1, 9
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_search.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_settings.c", "C", 0, 8, 0, 0, 0, 0, 1, 9
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_settings.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/taskbar_icon.c", "C", 0, 20, 0, 0, 0, 0, 1, 21
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/taskbar_icon.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/init.c", "C", 0, 18, 0, 0, 0, 3, 2, 23
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/init.h", "C++", 6, 0, 0, 0, 0, 0, 3, 9
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/util.c", "C", 0, 21, 0, 0, 0, 4, 3, 28
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/util.h", "C++", 5, 0, 0, 0, 0, 0, 3, 8
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/wallpaper.c", "C", 0, 69, 0, 0, 0, 32, 8, 109
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/wallpaper.h", "C++", 24, 0, 0, 0, 0, 4, 5, 33
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/window_manager.c", "C", 0, 71, 0, 0, 0, 13, 3, 87
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/window_manager.h", "C++", 23, 0, 0, 0, 0, 16, 8, 47
"Total", "-", 1270, 2551, 2, 11, 62, 772, 547, 5215
